Ride_ID,Platform,Customer_ID,Driver_ID,City,Pickup_Location,Drop_Location,Ride_Date,Ride_Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Rating,Surge_Multiplier,Cancelled,Driver_Experience_Years
R23,Uber,C672,D114,Chennai,Mall,Railway Station,01-01-2022 22:00,12.66,32,389.53,Cash,3.9,1.5,No,13
R24,Uber,C1227,D477,Bangalore,Hotel,Residential,01-01-2022 23:00,18.64,93,663.53,UPI,2,2,No,8
R25,Uber,C1172,D321,Mumbai,Mall,Office,02-01-2022 00:00,5.98,37,1731.88,UPI,4.4,1.5,No,6
R26,Uber,C1496,D179,Delhi,Office,Airport,02-01-2022 01:00,32.3,57,461.2,Card,4.8,2,No,6
R27,Uber,C944,D219,Delhi,Railway Station,Hotel,02-01-2022 02:00,23.06,42,86.66,UPI,3,1.5,No,11
R28,Uber,C199,D528,Hyderabad,Hotel,Office,02-01-2022 03:00,36.16,56,1751.99,UPI,4,1.5,No,10
R29,Uber,C1450,D492,Pune,Residential,Railway Station,02-01-2022 04:00,20.32,82,706.78,Cash,3.1,1,No,7
R30,Uber,C492,D61,Pune,Airport,Mall,02-01-2022 05:00,37.72,15,875.84,Card,1.3,1,No,8
R31,Ola,C896,D54,Delhi,Hotel,Railway Station,02-01-2022 06:00,35.78,6,936.96,Wallet,2.3,2.5,No,13
R32,Ola,C142,D680,Bangalore,Hotel,Mall,02-01-2022 07:00,23.48,57,1708.69,Card,1.3,1,No,7
R33,Uber,C1337,D538,Bangalore,Residential,Railway Station,02-01-2022 08:00,37.42,98,728.75,UPI,5,1.5,No,13
R34,Uber,C165,D65,Chennai,Office,Airport,02-01-2022 09:00,13.6,98,1793.18,UPI,1.9,1.5,No,1
R35,Uber,C314,D612,Hyderabad,Mall,Airport,02-01-2022 10:00,15.26,72,1264.52,Cash,3.5,2,No,10
R36,Ola,C21,D586,Chennai,Mall,Hotel,02-01-2022 11:00,2.77,81,1092.39,Wallet,2.1,2,No,13
R37,Uber,C1106,D171,Pune,Railway Station,Office,02-01-2022 12:00,23.98,11,705.18,Wallet,3.6,2.5,No,14
R38,Ola,C1155,D273,Delhi,Office,Railway Station,02-01-2022 13:00,29.16,106,547.93,Wallet,1.8,1.5,Yes,4
R39,Ola,C984,D699,Bangalore,Residential,Railway Station,02-01-2022 14:00,31.17,71,1278.19,UPI,4.1,2.5,Yes,4
R40,Ola,C305,D535,Delhi,Office,Office,02-01-2022 15:00,6.84,13,938.04,UPI,1.4,1.5,Yes,13
R41,Ola,C371,D391,Mumbai,Office,Residential,02-01-2022 16:00,18.32,82,1828.19,Card,4.6,1,No,9
R42,Ola,C853,D693,Delhi,Mall,Hotel,02-01-2022 17:00,7.9,67,1023.95,UPI,4.4,2,No,12
R43,Uber,C384,D327,Mumbai,Residential,Railway Station,02-01-2022 18:00,26.82,15,1062.65,Wallet,3.7,2.5,No,9
R44,Uber,C445,D108,Chennai,Airport,Hotel,02-01-2022 19:00,7.16,41,880.11,Wallet,1.3,1.2,No,3
R45,Uber,C425,D162,Chennai,Hotel,Railway Station,02-01-2022 20:00,36.26,18,1595.38,Wallet,1.8,1.5,No,11
R46,Uber,C161,D452,Pune,Mall,Railway Station,02-01-2022 21:00,9.99,23,895.69,Cash,4.4,1,No,9
R47,Uber,C1202,D206,Delhi,Residential,Residential,02-01-2022 22:00,12.36,12,597.14,Card,1.5,1.2,No,5
R48,Ola,C629,D590,Delhi,Railway Station,Airport,02-01-2022 23:00,34.19,11,1735.1,Card,1.6,1,No,11
R49,Uber,C895,D16,Mumbai,Hotel,Hotel,03-01-2022 00:00,18.88,63,1225.91,UPI,3.2,1,No,6
R50,Uber,C490,D327,Chennai,Hotel,Office,03-01-2022 01:00,1.94,67,1215.7,Cash,2.1,1.5,No,7
R51,Ola,C1017,D608,Mumbai,Mall,Hotel,03-01-2022 02:00,20.29,11,1252.78,Card,1.9,1,No,3
R52,Uber,C327,D659,Chennai,Railway Station,Residential,03-01-2022 03:00,4.3,59,1460.17,Cash,3.3,2.5,No,14
R53,Ola,C598,D2,Mumbai,Mall,Mall,03-01-2022 04:00,39.43,7,681.09,Cash,2.5,1.2,No,4
R54,Uber,C1015,D10,Chennai,Office,Mall,03-01-2022 05:00,23.94,71,144.98,UPI,1.6,1,No,5
R55,Ola,C289,D434,Mumbai,Residential,Residential,03-01-2022 06:00,11,22,1636.34,Cash,3.1,1,No,1
R56,Uber,C593,D125,Chennai,Railway Station,Residential,03-01-2022 07:00,22.98,49,327.5,Card,2.5,2,No,8
R57,Uber,C573,D81,Hyderabad,Hotel,Airport,03-01-2022 08:00,4,101,1465.89,UPI,3.9,2,No,11
R58,Ola,C1378,D485,Mumbai,Mall,Hotel,03-01-2022 09:00,32.2,105,238.05,Card,1.4,2.5,No,7
R59,Ola,C28,D652,Delhi,Hotel,Hotel,03-01-2022 10:00,37.09,96,800.59,Cash,3.5,2,No,13
R60,Ola,C954,D150,Pune,Railway Station,Mall,03-01-2022 11:00,35.1,40,201.01,Cash,2.7,1,No,11
R61,Ola,C43,D340,Hyderabad,Hotel,Office,03-01-2022 12:00,14.33,20,1082.65,Wallet,2.6,1,No,12
R62,Ola,C423,D129,Hyderabad,Mall,Hotel,03-01-2022 13:00,13.7,83,1334.02,UPI,1.9,1.2,No,13
R63,Ola,C177,D438,Mumbai,Mall,Railway Station,03-01-2022 14:00,2.37,33,409.15,UPI,1.1,2,No,2
R64,Ola,C529,D501,Pune,Airport,Railway Station,03-01-2022 15:00,26.4,63,793.53,Wallet,4.4,1.5,No,7
R65,Ola,C966,D58,Delhi,Hotel,Airport,03-01-2022 16:00,21.86,22,1866.06,Card,2.3,2,No,12
R66,Uber,C198,D198,Hyderabad,Airport,Airport,03-01-2022 17:00,18.91,53,929.39,Card,3.7,1,No,9
R67,Uber,C610,D211,Delhi,Airport,Mall,03-01-2022 18:00,36.4,114,1620.88,Cash,4.8,1.2,No,5
R68,Ola,C842,D45,Chennai,Hotel,Office,03-01-2022 19:00,7.55,50,1860.19,UPI,3.3,2,No,14
R69,Uber,C853,D97,Pune,Railway Station,Office,03-01-2022 20:00,1.38,87,1950.74,Cash,2.6,1.2,No,11
R70,Uber,C22,D279,Bangalore,Office,Residential,03-01-2022 21:00,3.86,33,1804.78,Wallet,2.1,2,No,6
R71,Uber,C1136,D535,Chennai,Mall,Airport,03-01-2022 22:00,9.71,74,689.42,Cash,4.7,2.5,No,5
R72,Uber,C1081,D410,Pune,Residential,Hotel,03-01-2022 23:00,2.3,113,1928.14,Card,3.7,1,No,1
R73,Ola,C1090,D461,Mumbai,Airport,Railway Station,04-01-2022 00:00,20.61,54,1639.8,Card,3.7,1,No,6
R74,Uber,C842,D391,Mumbai,Railway Station,Hotel,04-01-2022 01:00,13.25,115,1687.38,Wallet,2.7,1.5,No,14
R75,Ola,C98,D44,Delhi,Hotel,Railway Station,04-01-2022 02:00,8.04,59,109.13,Card,4.4,1,No,14
R76,Uber,C1168,D27,Hyderabad,Railway Station,Mall,04-01-2022 03:00,30.25,31,1912.14,Wallet,3.9,1.5,No,7
R77,Uber,C435,D97,Bangalore,Railway Station,Railway Station,04-01-2022 04:00,8.97,11,1573.93,UPI,2.1,1,Yes,5
R78,Uber,C637,D548,Mumbai,Hotel,Hotel,04-01-2022 05:00,27.82,95,1554.5,Wallet,3.4,2,No,3
R79,Ola,C1110,D621,Pune,Residential,Hotel,04-01-2022 06:00,14.62,87,236.53,Wallet,2.7,2,No,6
R80,Uber,C588,D567,Hyderabad,Hotel,Office,04-01-2022 07:00,20.96,85,526.53,Wallet,1,2.5,No,12
R81,Ola,C344,D219,Hyderabad,Residential,Office,04-01-2022 08:00,37.42,45,1927.54,Card,4.2,2,No,12
R82,Uber,C1318,D185,Pune,Hotel,Airport,04-01-2022 09:00,2.46,15,1041.3,UPI,1.5,1.2,No,11
R83,Ola,C571,D69,Hyderabad,Airport,Hotel,04-01-2022 10:00,20.51,9,843.89,Cash,3,2,No,7
R84,Uber,C611,D130,Mumbai,Residential,Mall,04-01-2022 11:00,34.32,70,1692.69,UPI,2.3,1.5,No,10
R85,Ola,C243,D567,Pune,Airport,Railway Station,04-01-2022 12:00,23.93,115,247.69,Card,2.4,2.5,No,10
R86,Ola,C561,D609,Pune,Residential,Airport,04-01-2022 13:00,11.8,60,880.53,UPI,2.9,1.2,No,12
R87,Uber,C960,D599,Delhi,Residential,Residential,04-01-2022 14:00,16.51,16,801.35,UPI,5,1.2,No,14
R88,Ola,C32,D631,Bangalore,Hotel,Residential,04-01-2022 15:00,27.53,46,751.71,Wallet,2.6,1,Yes,9
R89,Uber,C391,D334,Delhi,Residential,Railway Station,04-01-2022 16:00,35.74,110,670.77,Wallet,1.7,1.5,No,13
R90,Uber,C277,D154,Bangalore,Airport,Railway Station,04-01-2022 17:00,2.6,79,483.34,Card,3.5,2,No,7
R91,Uber,C532,D547,Pune,Hotel,Railway Station,04-01-2022 18:00,3.79,14,411.99,Wallet,1.9,2,No,3
R92,Uber,C1178,D79,Hyderabad,Mall,Office,04-01-2022 19:00,13.68,32,1309.58,Card,1.4,1,Yes,1
R93,Uber,C383,D579,Bangalore,Airport,Railway Station,04-01-2022 20:00,10.08,11,1845.24,Cash,1.2,2,No,14
R94,Uber,C1092,D413,Pune,Mall,Residential,04-01-2022 21:00,11.33,18,1057,UPI,1.1,1.2,No,13
R95,Uber,C884,D546,Pune,Railway Station,Railway Station,04-01-2022 22:00,9.63,81,652.11,Cash,2.7,2,No,7
R96,Uber,C214,D609,Delhi,Hotel,Hotel,04-01-2022 23:00,8.64,73,385.59,Cash,2.7,2,No,12
R97,Uber,C376,D169,Delhi,Railway Station,Mall,05-01-2022 00:00,6.09,65,1673.88,UPI,1.7,1.2,No,8
R98,Uber,C744,D681,Hyderabad,Hotel,Residential,05-01-2022 01:00,37.42,55,1945.26,Wallet,4.1,1.5,No,11
R99,Uber,C213,D663,Chennai,Hotel,Mall,05-01-2022 02:00,6.62,46,750.38,Cash,1.5,1.5,No,1
R100,Ola,C79,D583,Mumbai,Airport,Residential,05-01-2022 03:00,8.97,12,638.62,UPI,4.7,1.2,No,5
R101,Ola,C628,D515,Chennai,Mall,Airport,05-01-2022 04:00,10.6,54,1234.87,Cash,3.4,1.2,No,12
R102,Uber,C604,D314,Chennai,Hotel,Hotel,05-01-2022 05:00,37.39,5,1568.63,Cash,1.1,2.5,No,12
R103,Uber,C782,D32,Hyderabad,Mall,Residential,05-01-2022 06:00,30.47,73,954.37,UPI,4.9,2.5,No,13
R104,Uber,C1405,D287,Bangalore,Hotel,Hotel,05-01-2022 07:00,31.8,15,1289.74,Wallet,2.2,2,No,8
R105,Uber,C1001,D594,Hyderabad,Mall,Residential,05-01-2022 08:00,5.09,111,1455.77,Card,2.8,2,No,10
R106,Uber,C680,D43,Hyderabad,Railway Station,Mall,05-01-2022 09:00,33.62,52,1924.34,UPI,2.1,2.5,No,7
R107,Uber,C58,D617,Pune,Airport,Mall,05-01-2022 10:00,16.92,14,396.87,Card,3.9,2,No,2
R108,Uber,C1050,D1,Pune,Hotel,Residential,05-01-2022 11:00,11.25,19,1994.97,UPI,2.9,1.5,No,13
R109,Uber,C881,D573,Pune,Office,Residential,05-01-2022 12:00,23.45,107,832.94,UPI,1.5,1.5,Yes,13
R110,Ola,C447,D270,Mumbai,Mall,Office,05-01-2022 13:00,33.07,51,1468.54,Card,1.4,1,No,13
R111,Uber,C66,D180,Bangalore,Mall,Hotel,05-01-2022 14:00,31.37,97,1179.04,Card,3.9,2.5,No,4
R112,Ola,C1278,D518,Bangalore,Office,Hotel,05-01-2022 15:00,35.71,29,1014.4,Wallet,1.9,1.5,No,6
R113,Uber,C1068,D103,Pune,Airport,Hotel,05-01-2022 16:00,37.2,116,1420.3,UPI,1.6,1,No,7
R114,Uber,C1121,D10,Chennai,Mall,Hotel,05-01-2022 17:00,10.29,10,839.85,UPI,3,1.2,No,14
R115,Ola,C1012,D583,Mumbai,Airport,Airport,05-01-2022 18:00,17.53,15,322.13,UPI,4.2,1.5,No,7
R116,Uber,C227,D90,Chennai,Mall,Airport,05-01-2022 19:00,1.57,21,1018.68,Wallet,2.1,1,No,3
R117,Ola,C774,D226,Delhi,Residential,Railway Station,05-01-2022 20:00,35.29,19,1082.08,Card,2.1,2,No,12
R118,Uber,C679,D670,Bangalore,Mall,Residential,05-01-2022 21:00,7.03,20,467.65,UPI,4.3,1,No,8
R119,Uber,C1460,D126,Bangalore,Residential,Residential,05-01-2022 22:00,34.6,60,1876.39,Card,1.6,1.5,Yes,7
R120,Ola,C601,D209,Chennai,Hotel,Residential,05-01-2022 23:00,13.85,70,516.75,Wallet,3.5,2,No,4
R121,Uber,C379,D97,Mumbai,Airport,Residential,06-01-2022 00:00,15.36,40,865.72,Cash,4.8,2,No,10
R122,Ola,C1202,D74,Bangalore,Mall,Hotel,06-01-2022 01:00,2.53,87,377.46,Card,4.4,1,No,13
R123,Uber,C1451,D627,Chennai,Railway Station,Hotel,06-01-2022 02:00,13.75,42,1108.73,Wallet,1.2,1,No,4
R124,Ola,C709,D191,Hyderabad,Railway Station,Airport,06-01-2022 03:00,35.65,118,670.66,Cash,2.3,1.5,No,4
R125,Ola,C307,D682,Hyderabad,Office,Mall,06-01-2022 04:00,2,89,1019.4,UPI,1.6,2,No,5
R126,Uber,C779,D56,Mumbai,Railway Station,Office,06-01-2022 05:00,16.85,79,511.26,UPI,4.8,2.5,No,14
R127,Uber,C504,D553,Chennai,Residential,Hotel,06-01-2022 06:00,2.22,109,183.25,Card,4.9,1,No,11
R128,Ola,C268,D32,Hyderabad,Railway Station,Hotel,06-01-2022 07:00,15.47,7,1576.12,Cash,1.9,2.5,No,2
R129,Uber,C8,D527,Mumbai,Railway Station,Hotel,06-01-2022 08:00,7.73,102,1310.89,Wallet,3.7,2.5,No,9
R130,Uber,C508,D574,Pune,Railway Station,Mall,06-01-2022 09:00,10.84,22,734.22,UPI,4.4,2,No,6
R131,Uber,C476,D667,Mumbai,Mall,Mall,06-01-2022 10:00,35.23,83,171.19,UPI,1.9,1.5,No,12
R132,Ola,C1321,D284,Delhi,Office,Airport,06-01-2022 11:00,18.01,93,1741.9,Cash,1.8,2.5,No,8
R133,Ola,C164,D494,Pune,Airport,Hotel,06-01-2022 12:00,11.68,58,406.01,Wallet,1,1.5,No,11
R134,Ola,C485,D187,Chennai,Office,Office,06-01-2022 13:00,23.98,118,1867.03,UPI,2.6,1,No,1
R135,Ola,C1096,D498,Pune,Residential,Residential,06-01-2022 14:00,6.54,119,998.9,UPI,4.6,2,No,6
R136,Ola,C567,D442,Pune,Mall,Hotel,06-01-2022 15:00,11.12,83,733.54,Card,4.6,1.2,No,6
R137,Ola,C905,D130,Chennai,Hotel,Airport,06-01-2022 16:00,22.3,98,1504.18,Wallet,1.5,2,No,8
R138,Ola,C559,D639,Chennai,Mall,Airport,06-01-2022 17:00,10.26,21,1763.53,UPI,1.8,1.2,No,13
R139,Ola,C238,D292,Hyderabad,Railway Station,Office,06-01-2022 18:00,27.49,86,791.77,Cash,2.6,1,No,1
R140,Ola,C1128,D114,Delhi,Railway Station,Railway Station,06-01-2022 19:00,20.17,99,862.1,UPI,4.1,1.5,No,5
R141,Uber,C1234,D199,Chennai,Residential,Airport,06-01-2022 20:00,31.11,118,911.66,Wallet,3.4,1,No,14
R142,Ola,C554,D13,Bangalore,Hotel,Mall,06-01-2022 21:00,37.98,111,1850.86,Card,3.1,2,No,14
R143,Uber,C828,D271,Bangalore,Mall,Mall,06-01-2022 22:00,5.52,86,1409.72,UPI,3.4,1.2,No,14
R144,Uber,C468,D601,Delhi,Hotel,Residential,06-01-2022 23:00,14.05,103,555.48,Cash,1.4,1.2,No,3
R145,Uber,C1478,D215,Mumbai,Airport,Airport,07-01-2022 00:00,13.46,17,435.2,UPI,2.9,2,Yes,6
R146,Ola,C1292,D444,Mumbai,Office,Residential,07-01-2022 01:00,6.9,67,522.31,Cash,5,2,No,9
R147,Ola,C386,D512,Bangalore,Mall,Airport,07-01-2022 02:00,32.6,18,586.04,Wallet,1.4,1,No,10
R148,Ola,C775,D447,Chennai,Hotel,Office,07-01-2022 03:00,30.64,63,521.95,Card,3.1,2.5,No,3
R149,Ola,C848,D74,Delhi,Airport,Hotel,07-01-2022 04:00,19.89,40,1344.33,Wallet,2.2,1.2,No,9
R150,Uber,C387,D537,Mumbai,Airport,Airport,07-01-2022 05:00,21.97,22,302.59,UPI,3.2,2,No,12
R151,Ola,C877,D101,Mumbai,Office,Railway Station,07-01-2022 06:00,3.32,9,823.73,UPI,3.3,1,No,9
R152,Ola,C259,D176,Pune,Airport,Mall,07-01-2022 07:00,22.66,18,1280.1,Card,3.3,2.5,No,1
R153,Ola,C283,D427,Bangalore,Residential,Office,07-01-2022 08:00,31.86,29,638.45,Cash,4.4,1.5,No,2
R154,Ola,C40,D117,Chennai,Airport,Hotel,07-01-2022 09:00,23.38,48,205.33,Wallet,2.6,2,No,11
R155,Ola,C486,D166,Delhi,Hotel,Hotel,07-01-2022 10:00,11.35,43,237.1,Cash,3.1,2.5,No,4
R156,Uber,C929,D41,Mumbai,Residential,Mall,07-01-2022 11:00,27.03,16,321.86,UPI,1,1.5,No,14
R157,Ola,C220,D429,Pune,Airport,Hotel,07-01-2022 12:00,15.1,108,1684.82,Cash,4.2,1.5,No,11
R158,Uber,C1153,D344,Bangalore,Railway Station,Residential,07-01-2022 13:00,22.25,65,1343.1,Wallet,2,1,No,11
R159,Ola,C1015,D424,Bangalore,Airport,Office,07-01-2022 14:00,20.02,66,203.88,Cash,4.3,1.2,No,12
R160,Uber,C1024,D366,Delhi,Residential,Railway Station,07-01-2022 15:00,15.87,57,830.85,UPI,2.1,2,No,7
R161,Ola,C613,D120,Mumbai,Airport,Mall,07-01-2022 16:00,29.04,57,614.88,Wallet,1,2.5,No,12
R162,Ola,C928,D609,Delhi,Airport,Airport,07-01-2022 17:00,35.47,32,1189.84,Cash,1.6,1.5,No,2
R163,Uber,C688,D657,Delhi,Airport,Airport,07-01-2022 18:00,1.2,39,1083.79,Cash,4.9,1.2,No,7
R164,Uber,C613,D229,Hyderabad,Residential,Airport,07-01-2022 19:00,37.41,69,1003.76,Wallet,2.3,1.5,No,5
R165,Uber,C260,D130,Pune,Airport,Office,07-01-2022 20:00,20.95,7,683.86,UPI,1.4,2,No,10
R166,Ola,C990,D352,Bangalore,Office,Railway Station,07-01-2022 21:00,28.33,47,344.58,Wallet,1.5,2,Yes,7
R167,Uber,C966,D318,Hyderabad,Hotel,Hotel,07-01-2022 22:00,34.37,54,1505.36,UPI,2.2,1,Yes,14
R168,Ola,C366,D649,Chennai,Office,Railway Station,07-01-2022 23:00,19.22,75,1769.32,Cash,1.2,2,No,12
R169,Ola,C544,D337,Bangalore,Residential,Railway Station,08-01-2022 00:00,33.56,13,1892.77,Wallet,3,2,No,9
R170,Uber,C649,D273,Bangalore,Railway Station,Mall,08-01-2022 01:00,7.93,40,192.55,UPI,1.9,2,No,9
R171,Uber,C814,D117,Pune,Office,Office,08-01-2022 02:00,7.21,27,1500.62,Wallet,3.1,1.2,No,3
R172,Ola,C1040,D368,Chennai,Hotel,Airport,08-01-2022 03:00,26.64,92,1474.89,Cash,1.6,2.5,No,3
R173,Ola,C1153,D94,Mumbai,Mall,Mall,08-01-2022 04:00,34.94,78,1898.45,Wallet,2.7,2.5,No,13
R174,Uber,C575,D168,Chennai,Hotel,Hotel,08-01-2022 05:00,35.8,54,565.6,Cash,3.4,2,No,7
R175,Uber,C1133,D341,Mumbai,Office,Railway Station,08-01-2022 06:00,26.11,59,1504.98,Cash,1.2,2.5,No,5
R176,Uber,C1013,D661,Chennai,Mall,Airport,08-01-2022 07:00,21.49,116,184.88,Cash,2.6,2,No,5
R177,Ola,C670,D695,Delhi,Residential,Office,08-01-2022 08:00,13.92,16,1291.99,UPI,2.2,2.5,No,5
R178,Ola,C269,D152,Chennai,Hotel,Residential,08-01-2022 09:00,39.22,87,753.63,UPI,2,2.5,No,9
R179,Ola,C1186,D586,Hyderabad,Railway Station,Railway Station,08-01-2022 10:00,13.47,36,1556.31,Card,3.4,1.5,No,4
R180,Ola,C1284,D274,Hyderabad,Mall,Railway Station,08-01-2022 11:00,30.02,28,1737.54,UPI,3.4,1.2,No,6
R181,Ola,C924,D554,Pune,Mall,Railway Station,08-01-2022 12:00,21.75,90,780.46,Card,3.5,1.5,No,6
R182,Ola,C1126,D496,Mumbai,Hotel,Railway Station,08-01-2022 13:00,24.73,71,1089.13,Wallet,1.6,1.5,No,13
R183,Uber,C247,D101,Bangalore,Office,Airport,08-01-2022 14:00,16.35,108,305.42,Cash,2.1,2.5,No,7
R184,Ola,C131,D557,Pune,Mall,Office,08-01-2022 15:00,38.63,31,880.46,UPI,1.8,1,No,2
R185,Ola,C353,D82,Hyderabad,Residential,Mall,08-01-2022 16:00,23.3,65,772.74,Cash,3.2,1,No,6
R186,Ola,C196,D529,Hyderabad,Hotel,Airport,08-01-2022 17:00,37.57,23,431.6,Card,2.8,1.2,No,13
R187,Uber,C930,D73,Mumbai,Residential,Office,08-01-2022 18:00,1.3,77,1797.4,UPI,2.3,2,No,9
R188,Ola,C1406,D14,Hyderabad,Hotel,Mall,08-01-2022 19:00,23.33,55,364.33,UPI,4.1,2.5,No,3
R189,Ola,C1022,D433,Hyderabad,Residential,Railway Station,08-01-2022 20:00,28.97,68,1300.62,UPI,1.4,1.2,No,2
R190,Uber,C645,D157,Mumbai,Office,Office,08-01-2022 21:00,30.06,117,1789.07,UPI,4.9,1.5,No,13
R191,Ola,C227,D132,Hyderabad,Hotel,Railway Station,08-01-2022 22:00,36.29,81,1830.98,Cash,1.5,2.5,Yes,8
R192,Ola,C701,D338,Bangalore,Railway Station,Office,08-01-2022 23:00,1.17,6,1603.02,UPI,4.1,1.5,No,1
R193,Ola,C265,D404,Delhi,Office,Hotel,09-01-2022 00:00,1.01,40,418.19,Card,2.5,1.2,No,11
R194,Ola,C1396,D376,Pune,Residential,Residential,09-01-2022 01:00,19.42,97,1649.47,UPI,4.5,1,No,8
R195,Ola,C1458,D559,Bangalore,Hotel,Railway Station,09-01-2022 02:00,2.14,15,611,Card,1.3,1.2,No,5
R196,Uber,C646,D107,Bangalore,Office,Railway Station,09-01-2022 03:00,39.01,102,1851,Card,2.5,2.5,No,9
R197,Uber,C211,D620,Delhi,Residential,Railway Station,09-01-2022 04:00,9.66,72,1441.45,Cash,2.3,2.5,No,9
R198,Uber,C1401,D265,Pune,Airport,Hotel,09-01-2022 05:00,19.43,72,1587.71,UPI,5,2,No,4
R199,Ola,C1419,D205,Bangalore,Airport,Airport,09-01-2022 06:00,3.38,68,243.26,Card,4.9,1,No,1
R200,Ola,C1474,D79,Hyderabad,Mall,Mall,09-01-2022 07:00,21.36,5,1198.91,UPI,1.8,2.5,No,5
R201,Ola,C943,D155,Delhi,Railway Station,Railway Station,09-01-2022 08:00,15.82,93,1656.59,Cash,3.5,1,No,7
R202,Uber,C1388,D247,Pune,Airport,Railway Station,09-01-2022 09:00,2.74,30,1734.25,Cash,3.1,2.5,No,9
R203,Ola,C457,D531,Chennai,Residential,Airport,09-01-2022 10:00,14.07,15,134.97,UPI,1.6,1,No,10
R204,Ola,C725,D538,Mumbai,Office,Airport,09-01-2022 11:00,16.27,91,1883.19,Card,1.7,1.2,No,9
R205,Uber,C1250,D154,Hyderabad,Hotel,Residential,09-01-2022 12:00,39.61,6,163.21,Wallet,5,1,No,9
R206,Ola,C982,D154,Delhi,Office,Office,09-01-2022 13:00,9.11,87,1259.88,Wallet,2.8,1.5,No,6
R207,Uber,C1155,D686,Mumbai,Mall,Railway Station,09-01-2022 14:00,22.25,97,1411.3,Cash,1.5,1.2,No,2
R208,Uber,C588,D92,Chennai,Office,Office,09-01-2022 15:00,39.51,44,286.1,Card,1.9,2.5,No,5
R209,Uber,C476,D433,Bangalore,Airport,Airport,09-01-2022 16:00,31.89,8,172.18,Wallet,2.1,2.5,No,3
R210,Ola,C986,D338,Bangalore,Office,Airport,09-01-2022 17:00,39.74,84,1587.03,Card,3,2,No,12
R211,Ola,C1301,D480,Pune,Airport,Residential,09-01-2022 18:00,38.76,115,818.57,UPI,2.3,1.5,No,6
R212,Ola,C156,D693,Delhi,Airport,Mall,09-01-2022 19:00,20.09,41,285.66,Cash,2.8,2,No,11
R213,Ola,C1242,D131,Delhi,Railway Station,Hotel,09-01-2022 20:00,28.16,65,1544.32,UPI,1.7,1.2,No,5
R214,Ola,C190,D450,Pune,Mall,Hotel,09-01-2022 21:00,5.31,95,1710.39,UPI,2.3,2,No,13
